coil_tag,direct_field_key,direct_label,target_value,target_unit,source_section,source_label,source_value,source_unit,transform,source_type,confidence,review_note
CDXC-1,coil_quantity,Coil Quantity,1,,Cover Page,Qty,1,,direct,pdf,exact_match,
CDXC-1,coil_hand,Coil Hand,Right,,Cover Page,Handing,RH,,normalize_rh_to_right,pdf_normalized,normalized_match,
CDXC-1,tube_diameter_standard_at_top,Tube Diameter (standard at top),3/8 1.00 x 0.866,,,,,,engineer_selected,engineer_default,engineer_default,Direct Coil selection value visible in screenshot; not explicit in PDF section.
CDXC-1,tubes_high,Tubes High,26,,Cooling DX,Fin Height (in),26,in,match_tubes_high_to_fin_height_for_dx,pdf_normalized,needs_review,Verify if tubes high always equals fin height for this supplier.
CDXC-1,finned_height,Finned Height(In),26,in,Cooling DX,Fin Height (in),26,in,direct,pdf,exact_match,
CDXC-1,finned_length,Finned Length(In),72,in,Cooling DX,Fin Length (in),72,in,direct,pdf,exact_match,
CDXC-1,rows,Rows Deep,5,,Cooling DX,Rows,5,,direct,pdf,exact_match,
CDXC-1,fin_density_fpi,Fins Per Inch,12,FPI,Cooling DX,FPI,11,,direct_coil_option_differs_from_pdf,review_required,needs_review,John review 2026-06-11: possible application engineer mistake or intentional adjustment to keep leaving dry bulb similar or below supplier value.
CDXC-1,number_of_feeds_total,Number Of Feeds(Total),16,,Cooling DX,Total Feeds,16,,direct,pdf,exact_match,
CDXC-1,tube_material,Tube Material,Copper 0.016 Plain,,Cooling DX,Tube Material,0.016 Copper,,engineer_option_from_pdf_material,pdf_normalized,normalized_match,Direct Coil adds Plain option text.
CDXC-1,fin_material,Fin Material,Aluminum 0.008,,Cooling DX,Fin Material,0.0075 Aluminium,,engineer_option_from_pdf_material,review_required,needs_review,PDF says 0.0075 Aluminium but Direct Coil screenshot uses Aluminum 0.008.
CDXC-1,fin_surface,Fin Surface,Flat,,Cooling DX,Fin Surface,Flat,,direct,pdf,exact_match,
CDXC-1,header_material,Header Material,Copper,,,,,,engineer_selected,engineer_default,engineer_default,Visible in Direct Coil screenshot; not explicit in PDF section.
