coil_tag,direct_field_key,direct_label,target_value,target_unit,source_section,source_label,source_value,source_unit,transform,source_type,confidence,review_note
CDXC-1,coil_quantity,Coil Quantity,1,,Cover Page,Qty,1,,direct,pdf,exact_match,
CDXC-1,coil_hand,Coil Hand,Left,,Cover Page,Handing,LH,,normalize_lh_to_left,pdf_normalized,normalized_match,
CDXC-1,finned_height,Finned Height(In),24,in,Cooling DX,Fin Height (in),24,in,direct,pdf,exact_match,
CDXC-1,finned_length,Finned Length(In),48,in,Cooling DX,Fin Length (in),48,in,direct,pdf,exact_match,
CDXC-1,rows,Rows Deep,6,,Cooling DX,Rows,6,,direct,pdf,exact_match,
CDXC-1,fin_density_fpi,Fins Per Inch,11,FPI,Cooling DX,FPI,11,,direct,pdf,exact_match,
CDXC-1,number_of_feeds_total,Number Of Feeds(Total),18,,Cooling DX,Total Feeds,18,,direct,pdf,exact_match,
CDXC-1,airflow,Total Air Flow(CFM),3735,CFM,Cooling DX,Airflow (CFM),3735,CFM,direct,pdf,exact_match,
CDXC-1,altitude,Altitude(FT),0,ft,Unit Details,Altitude (ft),0,ft,direct,pdf,exact_match,
CDXC-1,entering_db_f,Entering Dry Bulb(F),95,degF,Cooling DX,DB (F),95,degF,direct,pdf,exact_match,
CDXC-1,entering_wb_f,Entering Wet Bulb(F),78,degF,Cooling DX,WB (F),78,degF,direct,pdf,exact_match,
CDXC-1,refrigerant,Refrigerant,R-32,,Cooling DX,Refrigerant,R-32,,direct,pdf,exact_match,
CDXC-1,total_capacity_mbh_per_coil,Total Capacity(MBH)(Per Coil),329.48,MBH,Cooling DX,Capacity (MBH),329.48,MBH,direct,pdf,exact_match,
CDXC-1,tube_material,Tube Material,Copper,,,,"",,engineer_selected,engineer_default,engineer_default,PDF did not provide this value.
RHHGRC-1,coil_quantity,Coil Quantity,1,,Cover Page,Qty,1,,direct,pdf,exact_match,
RHHGRC-1,coil_hand,Coil Hand,Left,,Cover Page,Handing,LH,,normalize_lh_to_left,pdf_normalized,normalized_match,
RHHGRC-1,finned_height,Finned Height(In),24,in,Reheat Hot Gas Reheat Coil,Fin Height (in),24,in,direct,pdf,exact_match,
RHHGRC-1,finned_length,Finned Length(In),48,in,Reheat Hot Gas Reheat Coil,Fin Length (in),48,in,direct,pdf,exact_match,
RHHGRC-1,rows,Rows Deep,1,,Reheat Hot Gas Reheat Coil,Rows,1,,direct,pdf,exact_match,
RHHGRC-1,fin_density_fpi,Fins Per Inch,11,FPI,Reheat Hot Gas Reheat Coil,FPI,11,,direct,pdf,exact_match,
RHHGRC-1,airflow,Total Air Flow(CFM),3735,CFM,Reheat Hot Gas Reheat Coil,Airflow (CFM),3735,CFM,direct,pdf,exact_match,
RHHGRC-1,entering_db_f,Entering Dry Bulb(F),55,degF,Reheat Hot Gas Reheat Coil,DB (F),55,degF,direct,pdf,exact_match,
RHHGRC-1,refrigerant,Refrigerant,R-32,,Reheat Hot Gas Reheat Coil,Refrigerant,R-32,,direct,pdf,exact_match,
RHHGRC-1,total_capacity_mbh_per_coil,Total Capacity(MBH)(Per Coil),60.85,MBH,Reheat Hot Gas Reheat Coil,Capacity (MBH),60.85,MBH,direct,pdf,exact_match,
RHHGRC-1,tube_material,Tube Material,Copper,,,,"",,engineer_selected,engineer_default,engineer_default,PDF did not provide this value.
