case_id,folder_path,json_file,pdf_file,coil_name,model_number,coil_category,header_type,feed_type,special_feature,subcategory,normalized_roadmap_bucket,confidence,review_status,key_evidence,main_uncertainty
EZC-0001,C:\Users\JohnKim\Desktop\Bins\Projects\CoilForge\Case\EZC-0001,CDXC-1.txt,CDXC-1.pdf,CDXC-1,DX-F-S-04-13-12.00x15.00-L,DX,Header 1,NOT_APPLICABLE,None,Header 1,DX / Header 1,HIGH,AI_INFERRED,Single distributor plus single return header pair is present in Geometry.Headers and drawing labels.,none detected
EZC-0002,C:\Users\JohnKim\Desktop\Bins\Projects\CoilForge\Case\EZC-0002,RHHGRC-1.json,RHHGRC-1.pdf,RHHGRC-1,CD-F-F-02-08.5-12.00x15.00-L,HGRH,Header 1,Single Feed,None,Header 1,HGRH / Header 1,HIGH_AFTER_JOHN_REVIEW,JOHN_CONFIRMED,John engineering review decision applied; source evidence preserved in case assessment.,none for internal CoilForge classification after John review
EZC-0003,C:\Users\JohnKim\Desktop\Bins\Projects\CoilForge\Case\EZC-0003,EZC-0003.txt,CDXC-2.pdf,CDXC-2,DX-F-F-05-12-15.00x35.00-L,DX,Header 1,NOT_APPLICABLE,None,Header 1,DX / Header 1,HIGH,AI_INFERRED,Single distributor plus single return header pair is present in Geometry.Headers and drawing labels.,none detected
EZC-0004,C:\Users\JohnKim\Desktop\Bins\Projects\CoilForge\Case\EZC-0004,RHHGRH-2.json,RHHGRH-2.pdf,RHHGRH-2,CD-F-F-02-10.5-15.00x35.00-L,HGRH,Header 1,Single Feed,None,Header 1,HGRH / Header 1,HIGH_AFTER_JOHN_REVIEW,JOHN_CONFIRMED,John engineering review decision applied; source evidence preserved in case assessment.,none for internal CoilForge classification after John review
EZC-0005,C:\Users\JohnKim\Desktop\Bins\Projects\CoilForge\Case\EZC-0005,PHWC-1.txt,PHWC-1.pdf,PHWC-1,HW-A-F-02-06.5-19.50x12.50-L,HWC,Header 1,NOT_APPLICABLE,None,Header 1,HWC / Header 1,HIGH,AI_INFERRED,Heating water model/fluid evidence plus one supply and one return connection matches the HWC Header 1 roadmap bucket.,none detected
EZC-0006,C:\Users\JohnKim\Desktop\Bins\Projects\CoilForge\Case\EZC-0006,HHWC-1.txt,HHWC-1.pdf,HHWC-1,HWD02C13-19.50x12.50L,HWC,Header 1,NOT_APPLICABLE,None,Header 1,HWC / Header 1,HIGH,AI_INFERRED,Heating water model/fluid evidence plus one supply and one return connection matches the HWC Header 1 roadmap bucket.,none detected
EZC-0007,C:\Users\JohnKim\Desktop\Bins\Projects\CoilForge\Case\EZC-0007,CDXC-1.txt,CDXC-1.pdf,CDXC-1,DXM05C12-34.00x52.00L,DX,Header 3,NOT_APPLICABLE,None,Header 3,DX / Header 3,HIGH,AI_INFERRED,Three distributor/return circuit pairs are visible in JSON/PDF labels.,none detected
EZC-0008,C:\Users\JohnKim\Desktop\Bins\Projects\CoilForge\Case\EZC-0008,RHHGRC-1.json,RHHGRC-1.pdf,RHHGRC-1,CDM02C11.5-34.00x52.00L,HGRH,Header 2,Non-Single Feed,None,Header 2,HGRH / Header 2,HIGH_AFTER_JOHN_REVIEW,JOHN_CONFIRMED,John engineering review decision applied; source evidence preserved in case assessment.,none for internal CoilForge classification after John review
EZC-0009,C:\Users\JohnKim\Desktop\Bins\Projects\CoilForge\Case\EZC-0009,CDXC-1.txt,CDXC-1.pdf,CDXC-1,DX-F-S-06-14-12.00x24.00-L,DX,Header 1,NOT_APPLICABLE,None,Header 1,DX / Header 1,HIGH,AI_INFERRED,Single distributor plus single return header pair is present in Geometry.Headers and drawing labels.,none detected
EZC-0010,C:\Users\JohnKim\Desktop\Bins\Projects\CoilForge\Case\EZC-0010,RHHGRC-1.json,RHHGRC-1.pdf,RHHGRC-1,CD-F-F-02-08-12.00x24.00-L,HGRH,Header 1,Single Feed,None,Header 1,HGRH / Header 1,HIGH_AFTER_JOHN_REVIEW,JOHN_CONFIRMED,John engineering review decision applied; source evidence preserved in case assessment.,none for internal CoilForge classification after John review
EZC-0011,C:\Users\JohnKim\Desktop\Bins\Projects\CoilForge\Case\EZC-0011,CDXC-2.txt,CDXC-2.pdf,CDXC-2,DX-F-S-04-14-26.00x34.00-R,DX,Header 2,NOT_APPLICABLE,None,Header 2,DX / Header 2,HIGH,AI_INFERRED,Two distributor/return circuit pairs are visible in JSON/PDF labels.,none detected
EZC-0012,C:\Users\JohnKim\Desktop\Bins\Projects\CoilForge\Case\EZC-0012,RHHGRC-2.json,RHHGRC-2.pdf,RHHGRC-2,CD-F-F-02-08-26.00x34.00-R,HGRH,Header 1,Non-Single Feed,None,Header 1,HGRH / Header 1,HIGH_AFTER_JOHN_REVIEW,JOHN_CONFIRMED,John engineering review decision applied; source evidence preserved in case assessment.,none for internal CoilForge classification after John review
EZC-0013,C:\Users\JohnKim\Desktop\Bins\Projects\CoilForge\Case\EZC-0013,CDXC-1.txt,CDXC-1.pdf,CDXC-1,DX-F-F-05-12-12.00x19.00-L,DX,UNKNOWN,NOT_APPLICABLE,HGBP,HGBP,DX / HGBP,HIGH_AFTER_JOHN_REVIEW,JOHN_CONFIRMED,John engineering review decision applied; source evidence preserved in case assessment.,none for internal CoilForge classification after John review
EZC-0014,C:\Users\JohnKim\Desktop\Bins\Projects\CoilForge\Case\EZC-0014,CCWC-1.txt,CCWC-1.pdf,CCWC-1,CW-A-F-04-14-16.50x24.00-L,CWC,Header 1,NOT_APPLICABLE,None,Header 1,CWC / Header 1,HIGH,AI_INFERRED,Cooling water model/fluid evidence plus one supply and one return connection matches the CWC Header 1 roadmap bucket.,none detected
EZC-0015,C:\Users\JohnKim\Desktop\Bins\Projects\CoilForge\Case\EZC-0015,HHWC-1.txt,HHWC-1.pdf,HHWC-1,HW-A-F-02-08-18.00x30.00-L,HWC,Header 1,NOT_APPLICABLE,None,Header 1,HWC / Header 1,HIGH,AI_INFERRED,Heating water model/fluid evidence plus one supply and one return connection matches the HWC Header 1 roadmap bucket.,none detected
