coil_tag,direct_field_key,direct_label,target_value,target_unit,source_section,source_label,source_value,source_unit,transform,source_type,confidence,review_note
RHHGRC-1,coil_quantity,Coil Quantity,1,,Cover Page,Qty,1,,direct,pdf,exact_match,
RHHGRC-1,coil_hand,Coil Hand,Right,,Cover Page,Handing,RH,,normalize_rh_to_right,pdf_normalized,normalized_match,
RHHGRC-1,tube_diameter_standard_at_top,Tube Diameter (standard at top),3/8 1.00 x 0.866,,,,"",,engineer_selected,engineer_default,engineer_default,Direct Coil selection value visible in screenshot; not explicit in PDF section.
RHHGRC-1,coil_type,Coil Type,Standard,,Reheat Hot Gas Reheat Coil,Coil Style,Standard,,direct,pdf,exact_match,
RHHGRC-1,tubes_high,Tubes High,26,,Reheat Hot Gas Reheat Coil,Fin Height (in),26,in,match_tubes_high_to_fin_height_for_hgrh,pdf_normalized,needs_review,Verify if tubes high always equals fin height for this supplier and coil type.
RHHGRC-1,finned_height,Finned Height(In),26,in,Reheat Hot Gas Reheat Coil,Fin Height (in),26,in,direct,pdf,exact_match,
RHHGRC-1,finned_length,Finned Length(In),25,in,Reheat Hot Gas Reheat Coil,Fin Length (in),25,in,direct,pdf,exact_match,
RHHGRC-1,rows,Rows Deep,2,,Reheat Hot Gas Reheat Coil,Rows,2,,direct,pdf,exact_match,
RHHGRC-1,fin_density_fpi,Fins Per Inch,7,FPI,Reheat Hot Gas Reheat Coil,FPI,7,,direct,pdf,exact_match,
RHHGRC-1,number_of_feeds,Number Of Feeds,2,,Reheat Hot Gas Reheat Coil,Total Feeds,2,,direct,pdf,exact_match,
RHHGRC-1,tube_material,Tube Material,Copper 0.016 Plain,,Reheat Hot Gas Reheat Coil,Tube Material,0.016 Copper,,engineer_option_from_pdf_material,pdf_normalized,normalized_match,Direct Coil adds Plain option text.
RHHGRC-1,fin_material,Fin Material,Aluminum 0.010,,Reheat Hot Gas Reheat Coil,Fin Material,0.010 Aluminium,,normalize_aluminium_to_aluminum,pdf_normalized,normalized_match,
RHHGRC-1,fin_surface,Fin Surface,Flat,,Reheat Hot Gas Reheat Coil,Fin Surface,Flat,,direct,pdf,exact_match,
RHHGRC-1,header_material,Header Material,Copper,,,,"",,engineer_selected,engineer_default,engineer_default,Visible in Direct Coil screenshot; not explicit in PDF section.
RHHGRC-1,header_wall_schedule,Header Wall Schedule,(L),,,,"",,engineer_selected,engineer_default,engineer_default,Visible in Direct Coil screenshot; not explicit in PDF section.
