case_id,coil_category,header_type,feed_type,special_feature,pdf_file,json_file,pdf_label,label_family,pdf_value_in,pdf_sources,json_path,json_value,difference_in,status,confidence,mapping_basis,notes
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,BF,BF,0.63,pdf_callout;pdf_dimension_table,Geometry.BSP,0.625,0.005,TOLERANCE_MATCH,STRONG,expected_path_value_match,Direct value match within 0.01 in using the prioritized label/path candidate set.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,CD,CD,7.25,pdf_callout;pdf_dimension_table,Geometry.CD,7.25,0,EXACT_MATCH,STRONG,expected_path_value_match,Direct value match within 0.01 in using the prioritized label/path candidate set.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,CH,CH,17.75,pdf_callout;pdf_dimension_table,Geometry.CH,17.75,0,EXACT_MATCH,STRONG,expected_path_value_match,Direct value match within 0.01 in using the prioritized label/path candidate set.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,CL,CL,27,pdf_callout;pdf_dimension_table,Geometry.CL,27,0,EXACT_MATCH,STRONG,expected_path_value_match,Direct value match within 0.01 in using the prioritized label/path candidate set.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,FH,FH,16.5,pdf_callout;pdf_dimension_table,Geometry.FH,16.5,0,EXACT_MATCH,STRONG,expected_path_value_match,Direct value match within 0.01 in using the prioritized label/path candidate set.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,FL,FL,24,pdf_callout;pdf_dimension_table,Geometry.FL,24,0,EXACT_MATCH,STRONG,expected_path_value_match,Direct value match within 0.01 in using the prioritized label/path candidate set.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,HD,HD,4,pdf_dimension_table,Geometry.HD,4,0,EXACT_MATCH,STRONG,expected_path_value_match,Direct value match within 0.01 in using the prioritized label/path candidate set.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,HD,HD,4,pdf_dimension_table,Geometry.Headers[0].HD,4,0,EXACT_MATCH,STRONG,expected_path_value_match,Direct value match within 0.01 in using the prioritized label/path candidate set.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,HD,HD,4,pdf_dimension_table,Geometry.Headers[1].HD,4,0,EXACT_MATCH,STRONG,expected_path_value_match,Direct value match within 0.01 in using the prioritized label/path candidate set.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,HD/SL,HD,,,Geometry.SingleFeedExtensionHD,3,,JSON_ONLY,MEDIUM,dimension_like_json_not_seen_in_pdf_labels,"Dimension-like JSON field is present, but the corresponding focused PDF label was not observed."
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,HD1,HD,4,pdf_callout,Geometry.HD,4,0,EXACT_MATCH,STRONG,expected_path_value_match,Direct value match within 0.01 in using the prioritized label/path candidate set.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,HD1,HD,4,pdf_callout,Geometry.Headers[0].HD,4,0,EXACT_MATCH,STRONG,expected_path_value_match,Direct value match within 0.01 in using the prioritized label/path candidate set.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,HD2,HD,,,Geometry.HD2,5,,JSON_ONLY,MEDIUM,dimension_like_json_not_seen_in_pdf_labels,"Dimension-like JSON field is present, but the corresponding focused PDF label was not observed."
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,HF,HF,1.5,pdf_callout;pdf_dimension_table,Geometry.LEP,1.5,0,EXACT_MATCH,MEDIUM,expected_path_value_match,Direct value match within 0.01 in using the prioritized label/path candidate set.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,HF,HF,1.5,pdf_callout;pdf_dimension_table,Geometry.REP,1.5,0,EXACT_MATCH,MEDIUM,expected_path_value_match,Direct value match within 0.01 in using the prioritized label/path candidate set.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,I,I,2.31,pdf_callout;pdf_dimension_table,Geometry.Headers[0].IO[0],2.3125,0.0025,TOLERANCE_MATCH,STRONG,expected_path_value_match,Direct value match within 0.01 in using the prioritized label/path candidate set.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,I,I,2.31,pdf_callout;pdf_dimension_table,Geometry.I,4.437,2.127,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,I,I,2.31,,Geometry.I,4.437,2.127,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,O,O,2.31,pdf_callout;pdf_dimension_table,Geometry.Headers[1].IO[0],2.3125,0.0025,TOLERANCE_MATCH,STRONG,expected_path_value_match,Direct value match within 0.01 in using the prioritized label/path candidate set.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,O,O,2.31,pdf_callout;pdf_dimension_table,Geometry.O,4.437,2.127,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,O,O,2.31,,Geometry.O,4.437,2.127,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,OAL,OAL,30.25,pdf_callout;pdf_dimension_table,,,,PDF_ONLY,LOW,pdf_label_without_confirmed_json_source,No prioritized JSON path or derived rule matched this PDF value within 0.01 in.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,OAL,OAL,30.25,pdf_callout;pdf_dimension_table,Geometry.OAL,0,30.25,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,OAL,OAL,30.25,,Geometry.OAL,0,30.25,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,R,R,1.68,pdf_callout;pdf_dimension_table,Geometry.Headers[1].SR,1.6765,0.0035,TOLERANCE_MATCH,STRONG,expected_path_value_match,Direct value match within 0.01 in using the prioritized label/path candidate set.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,R,R,1.68,pdf_callout;pdf_dimension_table,Geometry.R,1.8015,0.1215,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
